"Var1"	"Freq"
"870"	"ACP5"	2
"871"	"ADA"	2
"872"	"ADAM10"	2
"873"	"ADCY1"	2
"874"	"ADH5"	2
"875"	"ADIPOR1"	2
"876"	"AFP"	2
"877"	"AHSA1"	2
"878"	"AIM2"	2
"879"	"AIMP2"	2
"880"	"AKR1B1"	2
"881"	"AKR1C1"	2
"882"	"AKR7A2"	2
"883"	"AKT2"	2
"884"	"AKT3"	2
"885"	"ALPL"	2
"886"	"ALPP"	2
"887"	"ANKRD6"	2
"888"	"ANXA1"	2
"889"	"ANXA5"	2
"890"	"APAF1"	2
"891"	"APBB1IP"	2
"892"	"APC"	2
"893"	"APOA1"	2
"894"	"APOB"	2
"895"	"APOE"	2
"896"	"APOL1"	2
"897"	"AR"	2
"898"	"ARAF"	2
"899"	"ARHGAP1"	2
"900"	"ARHGAP9"	2
"901"	"ARID5B"	2
"902"	"ASNS"	2
"903"	"ATAD5"	2
"904"	"ATG16L1"	2
"905"	"ATM"	2
"906"	"ATOX1"	2
"907"	"ATP2A2"	2
"908"	"ATP5IF1"	2
"909"	"ATR"	2
"910"	"BAK1"	2
"911"	"BANP"	2
"912"	"BCHE"	2
"913"	"BCL2L10"	2
"914"	"BCL2L14"	2
"915"	"BCL6"	2
"916"	"BEAN1"	2
"917"	"BGN"	2
"918"	"BNIP3L"	2
"919"	"BRF1"	2
"920"	"BRF2"	2
"921"	"BTC"	2
"922"	"BTG3"	2
"923"	"C1QTNF2"	2
"924"	"CA13"	2
"925"	"CA5A"	2
"926"	"CACUL1"	2
"927"	"CALCR"	2
"928"	"CALR"	2
"929"	"CANX"	2
"930"	"CAPN2"	2
"931"	"CASP14"	2
"932"	"CAT"	2
"933"	"CCAR2"	2
"934"	"CCL16"	2
"935"	"CCL26"	2
"936"	"CCL7"	2
"937"	"CCR2"	2
"938"	"CD163"	2
"939"	"CD1B"	2
"940"	"CD2"	2
"941"	"CD22"	2
"942"	"CD226"	2
"943"	"CD24"	2
"944"	"CD244"	2
"945"	"CD28"	2
"946"	"CD33"	2
"947"	"CD40"	2
"948"	"CD55"	2
"949"	"CD68"	2
"950"	"CD80"	2
"951"	"CD81"	2
"952"	"CDC25A"	2
"953"	"CDC25C"	2
"954"	"CDC27"	2
"955"	"CDC42"	2
"956"	"CDC5L"	2
"957"	"CDC7"	2
"958"	"CDCA2"	2
"959"	"CDH2"	2
"960"	"CDHR5"	2
"961"	"CDK1"	2
"962"	"CDK19"	2
"963"	"CDK2"	2
"964"	"CDK20"	2
"965"	"CDKN1A"	2
"966"	"CDKN2C"	2
"967"	"CDS1"	2
"968"	"CEBPZ"	2
"969"	"CERS2"	2
"970"	"CFHR1"	2
"971"	"CGB3"	2
"972"	"CGB5"	2
"973"	"CHL1"	2
"974"	"CHRM3"	2
"975"	"CLEC6A"	2
"976"	"CLEC7A"	2
"977"	"CLSPN"	2
"978"	"CLTA"	2
"979"	"CLU"	2
"980"	"CMKLR1"	2
"981"	"CNBP"	2
"982"	"COPS5"	2
"983"	"CPA1"	2
"984"	"CPD"	2
"985"	"CRLF2"	2
"986"	"CRTAP"	2
"987"	"CSF1"	2
"988"	"CSF1R"	2
"989"	"CSK"	2
"990"	"CST7"	2
"991"	"CST8"	2
"992"	"CTCF"	2
"993"	"CTNNA1"	2
"994"	"CTNND1"	2
"995"	"CTSK"	2
"996"	"CTTN"	2
"997"	"CXCL2"	2
"998"	"CXCL8"	2
"999"	"CXCL9"	2
"1000"	"CXCR4"	2
"1001"	"CXCR6"	2
"1002"	"CYB5A"	2
"1003"	"CYBB"	2
